TP,FP,TN,FN,PPV,NPV,sensitivity,specificity
0.048493754592211606,0,0.9515062454077884,0,1,1,1,1
0.06245407788390889,0,0.9375459221160911,0,1,1,1,1
0.018368846436443792,0,0.9816311535635562,0,1,1,1,1
0.07421013960323292,0,0.925789860396767,0,1,1,1,1
0.002204261572373255,0,0.9977957384276267,0,1,1,1,1
0.01322556943423953,0,0.9867744305657604,0,1,1,1,1
0.03379867744305658,0,0.9662013225569435,0,1,1,1,1
0.005143277002204262,0,0.9948567229977957,0,1,1,1,1
0.029390154298310066,0,0.97060984570169,0,1,1,1,1
0.04041146216017634,0,0.9595885378398237,0,1,1,1,1
0.1880969875091844,0,0.8119030124908155,0,1,1,1,1
0.0014695077149155032,0,0.9985304922850845,0,1,1,1,1
0.038941954445260836,0,0.9610580455547392,0,1,1,1,1
0.08229243203526819,0,0.9177075679647319,0,1,1,1,1
0.024246877296105803,0,0.9757531227038942,0,1,1,1,1
0.14988978692138133,0,0.8501102130786187,0,1,1,1,1
0.011756061719324026,0,0.988243938280676,0,1,1,1,1
0.00881704628949302,0,0.991182953710507,0,1,1,1,1
0.016164584864070537,0,0.9838354151359294,0,1,1,1,1
0.0014695077149155032,0,0.9985304922850845,0,1,1,1,1
0.14915503306392358,0,0.8508449669360764,0,1,1,1,1
0.047619047619047616,0,0.9523809523809523,0,1,1,1,1
