"","TP","FP","TN","FN","PPV","NPV","sensitivity","specificity"
"anthropogenic_terrestrial",0.520205731080088,0,0.479794268919912,0,1,1,1,1
"desert",0.0308596620132256,0,0.969140337986774,0,1,1,1,1
"forest",0.0521675238795004,0,0.9478324761205,0,1,1,1,1
"grassland",0.0418809698750918,0,0.958119030124908,0,1,1,1,1
"shrubland",0.156502571638501,0,0.843497428361499,0,1,1,1,1
"tundra",0.198383541513593,0,0.801616458486407,0,1,1,1,1
"average",0.166666666666667,0,0.833333333333333,0,1,1,1,1
